Team,Region,Power rating,1st,2nd,Sweet 16,Elite Eight,Final Four,Champ.,Win
Gonzaga 1,West,96.5,✓,99%,89%,77%,62%,42%,27%
Kansas 1,Midwest,91.3,✓,97%,79%,51%,33%,19%,9%
Kentucky 2,East,91.2,✓,95%,81%,50%,33%,15%,9%
Arizona 1,South,90.9,✓,97%,81%,48%,29%,15%,7%
Auburn 2,Midwest,89.5,✓,95%,76%,49%,23%,12%,6%
Villanova 2,South,90.2,✓,95%,68%,40%,19%,10%,5%
Iowa 5,Midwest,89,✓,82%,61%,31%,19%,10%,4%
Houston 5,South,88.7,✓,77%,45%,25%,15%,8%,4%
Purdue 3,East,89.1,✓,94%,62%,30%,18%,7%,4%
Tennessee 3,South,88.9,✓,94%,64%,34%,16%,8%,4%
UCLA 4,East,89.8,✓,93%,66%,38%,17%,7%,3%
Duke 2,West,89.3,✓,97%,71%,38%,11%,6%,3%
Texas Tech 3,West,88.7,✓,93%,64%,37%,11%,6%,3%
Baylor 1,East,87.7,✓,96%,70%,34%,13%,5%,2%
Illinois 4,South,86.8,✓,81%,41%,17%,8%,4%,1%
LSU 6,Midwest,85.7,✓,67%,35%,16%,6%,3%,1%
Arkansas 4,West,86.8,✓,72%,38%,8%,4%,2%,1%
Wisconsin 3,Midwest,84.7,✓,85%,48%,22%,8%,3%,0.90%
Texas 6,East,86.3,✓,54%,21%,8%,4%,2%,0.80%
UConn 5,West,86.4,✓,86%,49%,8%,4%,2%,0.70%
Alabama 6,West,85.2,✓,62%,23%,11%,2%,1%,0.60%
Michigan 11,South,84.7,✓,69%,27%,11%,4%,1%,0.50%
Virginia Tech 11,East,84.7,✓,46%,16%,7%,3%,1%,0.50%
UNC 8,East,84,✓,58%,18%,9%,3%,1%,0.40%
Ohio State 7,South,84.2,✓,55%,18%,8%,3%,1%,0.40%
Memphis 9,West,84.9,✓,52%,6%,3%,1%,0.60%,0.30%
St. Mary's 5,East,84.3,✓,62%,22%,9%,3%,0.70%,0.30%
Loyola (IL) 10,South,83.7,✓,45%,13%,6%,2%,0.80%,0.30%
Providence 4,Midwest,82.7,✓,67%,22%,6%,2%,0.70%,0.20%
Indiana 12,East,83,75%,30%,9%,4%,1%,0.40%,0.20%
SDSU 8,Midwest,83.5,✓,55%,12%,5%,2%,0.60%,0.20%
Michigan St. 7,West,83.5,✓,51%,15%,6%,1%,0.50%,0.20%
TCU 9,South,81.9,✓,52%,10%,4%,1%,0.50%,0.20%
USC 7,Midwest,83,✓,52%,12%,5%,1%,0.50%,0.10%
Marquette 9,East,81.9,✓,42%,11%,4%,1%,0.30%,0.10%
Seton Hall 8,South,82.6,✓,48%,9%,3%,1%,0.40%,0.10%
Boise State 8,West,82.5,✓,48%,5%,3%,1%,0.30%,0.10%
Creighton 9,Midwest,81.5,✓,45%,9%,3%,1%,0.40%,0.10%
Murray St. 7,East,81.3,✓,58%,11%,3%,1%,0.30%,0.10%
Davidson 10,West,81.8,✓,49%,14%,4%,0.70%,0.20%,<0.1%
UAB 12,South,81.2,✓,23%,8%,2%,0.80%,0.30%,<0.1%
Miami 10,Midwest,81.1,✓,48%,11%,4%,1%,0.30%,<0.1%
Iowa State 11,Midwest,80.6,✓,33%,13%,4%,1%,0.30%,<0.1%
Colorado St. 6,South,81.7,✓,31%,8%,3%,0.80%,0.30%,<0.1%
Notre Dame 11,West,81.6,56%,22%,7%,3%,0.50%,0.20%,<0.1%
San Fran. 10,East,81.8,✓,42%,7%,2%,0.60%,0.10%,<0.1%
Richmond 12,Midwest,79.9,✓,18%,9%,2%,0.60%,0.20%,<0.1%
Rutgers 11,West,81.1,44%,16%,5%,2%,0.30%,0.10%,<0.1%
S. Dakota St. 13,Midwest,79.7,✓,33%,8%,2%,0.60%,0.10%,<0.1%
Vermont 13,West,80.3,✓,28%,10%,1%,0.30%,<0.1%,<0.1%
Chatt. 13,South,78.7,✓,19%,5%,1%,0.30%,<0.1%,<0.1%
Wyoming 12,East,78.5,25%,8%,2%,0.50%,0.10%,<0.1%,<0.1%
NM State 12,West,77.7,✓,14%,3%,0.30%,<0.1%,<0.1%,<0.1%
Colgate 14,Midwest,76.4,✓,15%,4%,0.70%,0.10%,<0.1%,<0.1%
